"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"C on Top PV Solar Farm Project",Solar,Operational,12,,Thailand,"C on Top Co., Ltd.",,,," ",Thailand,"Chon Buri","Bang Lamung"
"Ca Du",Hydro,Operational,2.6,2005,Vietnam,"Ca Du Hydro Power Constructing JSC",,,," ",Vietnam,"Quảng Ngãi","Trà Bồng"
"Ca Mau (Nhà máy điện mặt trời Cà Mau) 63 ha",Solar,Operational,50,2019,Vietnam,"Cty Long Hưng (Vietnam)",,,," ",Vietnam,"Cà Mau","Ngọc Hiển"
"Ca Mau 1",Gas,Operational,750,2008,Vietnam,"Ca Mau Petrovietnam Power Company",,,Vietnam,"Lilama (Vietnam)",Vietnam,"Cà Mau","U Minh"
"Ca Mau 2",Gas,Operational,750,2008,Vietnam,"Ca Mau Petrovietnam Power Company",,,Vietnam,"Lilama (Vietnam)",Vietnam,"Cà Mau","U Minh"
"Ca Na LNG",Gas,Planned,6000,2025,Thailand,"Gulf Energy Development Group",,,,,Vietnam,"Ninh Thuận","Thuận Nam"
"Cai Lan",Oil,Operational,39,,,,,,," ",Vietnam,"Quảng Ninh","Hạ Long"
"Cam An Bắc (Nhà máy điện mặt trời xã Cam An Bắc)",Solar,Planned,35,2019,Vietnam,"Cam Lâm Solar (Cty CP Cam Lâm Solar)",,,," ",Vietnam,"Khánh Hòa","Cam Lâm"
"Cam An Bắc (Nhà máy điện mặt trời xã Cam An Bắc)",Solar,Planned,50,2019,Vietnam,"Cam Lâm Solar (Cty CP Cam Lâm Solar)",,,," ",Vietnam,"Khánh Hòa","Cam Lâm"
"Cam Hoa (Điện mặt trời Cẩm Hòa)",Solar,Operational,50,2019,Vietnam,"Công ty CP Tập đoàn Hoành Sơn Hà Tĩnh",,,"Germany; Spain","Equipment: Công ty Eab New Energy (Germany) cung cấp thiết bị và Công ty TNHH Tư vấn điện Solakey (Spain)",Vietnam,"Hà Tĩnh","Cẩm Xuyên"
"Cam Hung (Điện mặt trời Cẩm Hưng)",Solar,Planned,29,2020,,,,,," ",Vietnam,"Hà Tĩnh","Cẩm Xuyên"
"Cam Lam Solar (Nhà máy điện mặt trời Cam Lâm)",Solar,Planned,50,2019,Vietnam,"Cam Lâm Solar (Cty CP Cam Lâm Solar)",,,," ",Vietnam,"Khánh Hòa","Cam Lâm"
"Cam Pha Phase 1-2 (Nhiệt điện Cẩm Phả Giai đoạn I-II)",Coal,Operational,680,2011,Vietnam,"Vinacomin and Cẩm Phả Thermal-power Joint-Stock Company",China,"China Exim Bank",China,"The Haerbin Power Project Co. Ltd.",Vietnam,"Quảng Ninh","Cẩm Phả"
"Cam Pha Phase 3-4 (Nhiệt điện Cẩm Phả Giai đoạn III)",Coal,Cancelled,440,2020,Vietnam,"Vinacomin and Cẩm Phả Thermal-power Joint-Stock Company",China,"China Exim Bank",China,"Haerbin Power Project Co. Ltd  (China)",Vietnam,"Quảng Ninh","Cẩm Phả"
"Cam Son",Hydro,Operational,4.5,1973,Vietnam,"Cam Son Hydro Power JSC",,,," ",Vietnam,"Lạng Sơn","Hữu Lũng"
"Can Don",Hydro,Operational,76,2004,Vietnam,"Song Da Group, EVN",,,," ",Vietnam,"Bình Phước","Bù Đốp"
"Can Tho",Oil,Operational,185,,Vietnam,"Vietnam Electricity ",,,," ",Vietnam,"Cần Thơ","Bình Thuỷ"
"Cao Ngan Thermal Power plant (Nhiệt điện Cao Ngạn)",Coal,Operational,115,2007,Vietnam,"EVN (Vietnam)",China,"China Exim (China)",," ",Vietnam,"Thái Nguyên","Thái Nguyên"
"Cargill Siam Borabu",Waste,Unknown,2.728,,Thailand,"Cargill Siam Ltd.",,,," ",Thailand,"Maha Sarakham",Borabu
"Cassava Waste to Energy Project",Biomass,Unknown,0.22,2009,"Thailand; Japan","Cassava Waste to Energy Co., Ltd., Toyota Tsusho Corporation, Tokyo Electric Power Co. Inc.",,,," ",Thailand,Kalasin,"Muang Kalasin"
"Cat Hiep (Điện mặt trời Cát Hiệp)",Solar,Operational,49.5,2018,"France; Vietnam","Quadran International (France) Công ty CP năng lượng và công nghệ cao Bình Định (Vietnam)",,,Germany,"Juwi Renewable Energies (Germany)",Vietnam,"Bình Định","Phù Cát"
"Chachoengsao Solar Power Plant",Solar,Operational,1.3,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,Chachoengsao,"Ban Pho"
"Chaimongkol Refined Sugar Co., Ltd.",Biomass,Unknown,7,,,,,,," ",Thailand,"Buri Ram","Muang Buri Ram"
"Chaiyaphum Wind Farm",Wind,Operational,80,2015,Thailand,"EGAT (Thailand)",,,," ",Thailand,Chaiyaphum,"Bamnet Narong"
Chana,Gas,Operational,1476,2014,Thailand,"EGAT (Thailand)",,,," ",Thailand,Songkhla,Chana
"Chang Raek Biomass Power Plant",Biomass,Unknown,9.5,2013,"Thailand; Germany","Chang Raek Biopower Co., Ltd. (TPC Power Holding PLC is holding company, EnBW Kraftwerke AG is shareholder)",,,," ",Thailand,"Nakhon Si Thammarat","Thung Song"
"Chantaburi Starch Wastewater Treatment",Waste,Unknown,1.9,,Thailand,"Chantaburi Starch Power Co., Ltd.",,,Switzerland,"South Pole Carbon Asset Management Ltd.",Thailand,Chanthaburi,Soydow
"Chao Khun Agro Biogas Energy Project",Waste,Unknown,,,Thailand,"Thai Biogas Energy Co. Ltd.",,,"United Kingdom","EcoSecurities Group plc.",Thailand,Saraburi,"Kaeng Khoi"
"Chao Phraya Dam",Hydro,Operational,12,,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Chai Nat",Sanphaya
Chaungthar,Wind,Planned,30,,China,"China Three Gorges Corporation",,,China,"China Three Gorges Corporation",Myanmar,Ayeyarwady,Bassein
"Chi Khe",Hydro,Operational,41,2020,Vietnam,"Chi Khe Hydropower JSC",,,Austria,"Andritz (Austria)",Vietnam,"Nghệ An","Con Cuông"
"Chiang Rai Power Stations",Biomass,Cancelled,1,,,,,,"Thailand; USA","CH Karnchang (Thailand)
 ASSYCE Asia (Thailand)
 Sonnedix (USA)",Thailand,"Chiang Rai","Wiang Chai"
"Chiang Rai Solar Park",Solar,Operational,9,2012,Thailand,"Chiang Rai Solar Company, Ltd.",,,"Thailand; Italy","Ch. Karnchang (Thailand), Sonnedix (Italy), Assyce Fotovoltaica (Thailand)",Thailand,"Chiang Rai","Mae Chan"
"Chiem Hoa",Hydro,Operational,48,2017,Vietnam,"EVN (Vietnam)",,,," ",Vietnam,"Tuyên Quang","Chiêm Hóa"
"Chieng Cong 1",Hydro,Operational,4,,Vietnam,"Lam Son Construction & Trading Co. Ltd",,,," ",Vietnam,"Sơn La","Mường La"
"Chieng Cong 2",Hydro,Operational,8,,Vietnam,"Lam Son Construction & Trading Co. Ltd",,,," ",Vietnam,"Sơn La","Mường La"
Chipwi,Hydro,Postponed,3400,,China,"State Power Investment Corporation (China)",,,China,"China Power Investment Corporation (CPI) (China)",Myanmar,Kachin,Myitkyina
"Chipwi Nge",Hydro,Operational,99,2013,China,"State Power Investment Corporation",,,"China; Myanmar","Upstream Ayeyawady Confluence Basin Hydropower Co., Ltd (ACHC)",Myanmar,Kachin,Myitkyina
"Chok Chai Power Station",Biomass,Operational,9.9,2013,Thailand,"Advance Agro Power Plant Co., Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Chok Chai"
"Chokhchai Green Power Project",Biomass,Unknown,36,,"Thailand; Denmark","CCGP Chokchai Greenpower, DP Cleantech",,,," ",Thailand,"Nakhon Ratchasima","Chok Chai"
"Chongdan Solar Power Plant",Solar,Operational,8,,Australia,"SSE-PV1 Project (Thailand)",,,," ",Thailand,Kanchanaburi,"Bo Phloi"
"Chulabhorn Dam",Hydro,Operational,40,1972,Thailand,"EGAT (Thailand)",,,China,"Power Construction Corporation of China (China)",Thailand,Chaiyaphum,"Khon San"
"Chulabhorn Downstream Hydropower Project",Hydro,"Under Construction",1.25,2018,Thailand,"EGAT (Thailand)",,,," ",Thailand,Chaiyaphum,"Khon San"
"Chumphon power stations",Biomass,Operational,,,,,,,," ",Thailand,Chumphon,Sawi
"Chumphon Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,Chumphon,"Muang Chumphon"
"Chumporn applied biogas technology for advanced waste water management",Waste,Unknown,,,Thailand,"Chumporn Palm Oil Public Co. Ltd.",,,Germany,"Deutsche Gesellschaft fur Internationale Zusammenarbeit",Thailand,Chumphon,Pathiu
"Clean Energy One Biomass Power Plant Project",Biomass,Unknown,9.4,,"Thailand; Switzerland","Clean Energy Thapsakae Ltd.; Swiss Carbon Assets Ltd.",,,," ",Thailand,"Prachuap Khiri Khan","Thap Sakae"
"CMX Renewable Energy Vietnam (Nhà máy điện mặt trời CMX)",Solar,Operational,168,2019,"Singapore; Canada","Sunseap, InfraCo Asia, CMX Renewable Energy Canada",,,," ",Vietnam,"Ninh Thuận","Ninh Sơn"
"Coc Ly",Hydro,Operational,90,2012,Vietnam,"Bac Ha Hydropower Company",,,," ",Vietnam,"Lai Châu","Nậm Nhùn"
"Coc San",Hydro,Operational,30,2016,Vietnam,"Colben Energy JSC.",,,," ",Vietnam,"Lào Cai","Sa Pa"
"Colben Energy Phnom Penh",Oil,Operational,20,2006,Singapore,"Asiatic Group (Holdings) Ltd.",,,,,Cambodia,"Phnom Penh","Ruessei Kaev"
"Conergy Suphanburi Solar Plant",Solar,Operational,11,2014,Germany,"Conergy Group (Germany)",,,," ",Thailand,Kanchanaburi,"Bo Phloi"
"Cong Hai (nhà máy điện gió Công Hải 1)",Wind,Unknown,25,,Vietnam,"Công ty Công nghiệp Sài Gòn, Tổng Công ty Phát điện 2 và Công ty CP Kinh doanh điện lực TPHCM (Vietnam)",,,," ",Vietnam,"Ninh Thuận","Thuận Bắc"
"Cong Ly Soc Trang 1 (Điện gió Công Lý Sóc Trăng)",Wind,"Under Construction",30,2019,Vietnam,"Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam)",,,," ",Vietnam,"Sóc Trăng","Vĩnh Châu"
"Cong Ly Soc Trang 2 (Điện gió Công Lý Sóc Trăng)",Wind,"Under Construction",30,2019,Vietnam,"Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam)",,,," ",Vietnam,"Sóc Trăng","Vĩnh Châu"
"Cong Ly Soc Trang 3 (Điện gió Công Lý Sóc Trăng)",Wind,"Under Construction",38,2019,Vietnam,"Công ty cổ phần Super Wind Energy Công Lý Sóc Trăng (Vietnam)",,,," ",Vietnam,"Sóc Trăng","Vĩnh Châu"
"Cong thanh Power Station (Nhiệt điện Công Thanh)",Coal,Planned,600,2024,Vietnam,"Cong Thanh Group (Vietnam)",Vietnam,"Commercial Bank of Vietnam & Bank for Foreign Trade (Vietnam)",," ",Vietnam,"Thanh Hóa","Tĩnh Gia"
"Cu Jut Solar Plant (Nhà máy điện mặt trời Cư Jút)",Solar,Operational,50,2019,Vietnam,"CTCP Thủy Điện Miền Trung",,,," ",Vietnam,"Đắk Nông","Cư Jút"
"Cua Dat",Hydro,Operational,97,2010,Vietnam,"Thac Mo Hydropower JSC (Vietnam); Vinaconex P&C JSC",,,," ",Vietnam,"Thanh Hóa","Thường Xuân"
CUP-1,Gas,Operational,226,2006,Thailand,"GPSC (Global Power Synergy Corp)",,,," ",Thailand,Rayong,"Muang Rayong"
CUP-2,Gas,Operational,113,2008,Thailand,"GPSC (Global Power Synergy Corp)",,,," ",Thailand,Rayong,"Muang Rayong"
"CYY Biopower Wastewater treatment plant",Waste,Unknown,2.72,,Thailand,"CYY Biopower Co. Ltd.",,,"Switzerland; Austria","South Pole Carbon Asset Management Ltd (Switzerland)' Kommunalkredit Public Consulting GmbH (Austria)",Thailand,"Nakhon Ratchasima","Kham Thala So"
"Da Dang 2",Hydro,Operational,34,2010,Vietnam,"Southern Hydropower JSC (Vietnam)",,,," ",Vietnam,"Lâm Đồng","Lâm Hà"
"Da Kai",Hydro,Operational,6,,Vietnam,"Nghia Gia Development Company Limited",,,," ",Vietnam,"Lâm Đồng","Lạc Dương"
"Da Mi 1 (Nhà máy điện mặt trời nổi hồ Đa Mi)",Solar,Operational,47.5,2020,Vietnam,"DHD (Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi (EVN - Phát Điện 1 subsidiary))",,,," ",Vietnam,"Bình Thuận","Tánh Linh"
"Da Nhim Thuong 2",Hydro,Operational,7.5,2010,Vietnam,"Thai Bao Production Trading Services and Investment Consultancy JSC.",,,," ",Vietnam,"Lâm Đồng","Lạc Dương"
"Dac Me",Hydro,Operational,5,2011,Vietnam,"Dak Me Hydro Power JSC.",,,," ",Vietnam,"Lâm Đồng","Đam Rông"
Dachaoshan,Hydro,Operational,1250,2003,China,"Yunnan Dachaoshan Hydropower Company Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,Lincang
Dachunhe,Hydro,Operational,30,2011,China,,China,,China," ",China,Yunnan,Yuxi
"Dachunhe 2",Hydro,Operational,20,2012,China,,China,,China," ",China,Yunnan,Yuxi
Dahuaqiao,Hydro,Operational,900,2018,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Nujiang Lisu"
"Dai Nga",Hydro,Operational,10,2015,Vietnam,"Thac Mo Hydropower JSC.",,,," ",Vietnam,"Lâm Đồng","Bảo Lâm"
"Dai Ninh",Hydro,Operational,300,2008,Vietnam,EVN,Japan,JICA,Japan,"Kajima, Kumagi, Hazama",Vietnam,"Lâm Đồng","Đức Trọng"
"Dak Doa",Hydro,Operational,14,2010,Vietnam,"Dak Doa Hydropower JSC.",,,," ",Vietnam,"Gia Lai","Đăk Đoa"
"Dak Drinh",Hydro,Operational,125,2014,Vietnam,"Dak Drinh Hydropower JSC; PVN (Vietnam)",,,," ",Vietnam,"Quảng Ngãi","Sơn Tây"
"Dak E Meule",Hydro,Operational,105,2018,,,,,," ",Laos,Xékong,Lamarm
"Dak Glun",Hydro,Operational,18,2011,Vietnam,"Sai Gon Accessories JSC",,,," ",Vietnam,"Bình Phước","Bù Gia Mập"
"Dak Lay",Hydro,Operational,3.2,2015,Vietnam,"Dak Lay Hydropower Co. Ltd",,,," ",Vietnam,"Kon Tum","Tu Mơ Rông"
"Dak Lo",Hydro,Operational,22,2016,Vietnam,"Dak Lo- Song Da 3 JSC",,,," ",Vietnam,"Kon Tum","Kon Plông"
"Dak Mi 3 (Nhà máy thủy điện Đăk Mi 3)",Hydro,Operational,56,2016,Vietnam,"Vietnam Urban and Industrial Zone Development Investment Corporation (IDICO)","Vietnam; Switzerland","Vietnam Bank for Agriculture and Rural Development (Agribank); Ecotawa AG",," ",Vietnam,"Quảng Nam","Phước Sơn"
"Dak Mi 4 (Nhà máy thủy điện Đăk Mi 4)",Hydro,Operational,148,2012,Vietnam,"IDICO (Vietnam), Bitexco (Vietnam)",Vietnam,"Vietnam Bank for Agriculture and Rural Development (Agribank - 56m); Bank for Investment and Development of Vietnam (BIDV - 37m); PetroVietnam Finance Corp. (31m); foreign sources (50m)",Vietnam,"IDICO General Construction Contractor, PECC2 (Power Engineering Consulting Company Nº2)",Vietnam,"Quảng Nam","Phước Sơn"
"Dak Mi 4c",Hydro,Operational,18,2012,Vietnam,"IDICO (Vietnam), Bitexco (Vietnam)",,,," ",Vietnam,"Quảng Nam","Phước Sơn"
"Dak Mi-1",Hydro,Cancelled,215,,Vietnam,"Cavuci Energy Development Investment Co.",,,Vietnam,"Quang Duc Kon Tum JSC",Vietnam,"Kon Tum","Đắk Glei"
"Dak N'teng",Hydro,Operational,13,2011,Vietnam,"Me Kong Hydro Power Limited Liability Company",,,," ",Vietnam,"Đắk Nông","Đăk Glong"
"Dak Ne",Hydro,Operational,8.1,2010,Vietnam,"Tan Phat JSC.",,,," ",Vietnam,"Kon Tum","Kon Rẫy"
"Dak Nong 2",Hydro,Operational,16,2016,Vietnam,"Viet Nguyen Construction JSC.",,,," ",Vietnam,"Đắk Nông","Gia Nghĩa"
"Dak Pia",Hydro,Operational,2.2,2012,Vietnam,"Trung Viet Co. Ltd.",,,," ",Vietnam,"Kon Tum","Kon Rẫy"
"Dak Po Ne",Hydro,Operational,15.6,2009,Vietnam,"PC 3 Investment JSC.",,,," ",Vietnam,"Kon Tum","Kon Plông"
"Dak Po ne 2",Hydro,Operational,3.6,2008,Vietnam,"Gia Nghi Co. Ltd",,,," ",Vietnam,"Kon Tum","Kon Rẫy"
"Dak Psi 3",Hydro,Operational,15,2012,Vietnam,"Dak Psi Hydro Power Investment and Development JSC",,,," ",Vietnam,"Kon Tum","Đắk Hà"
"Dak Psi 4",Hydro,Operational,30,2010,Vietnam,"Dak Psi Hydro Power Investment and Development JSC",,,," ",Vietnam,"Kon Tum","Tu Mơ Rông"
"Dak R'Tih",Hydro,Operational,144,2011,Vietnam,"Construction Corporation No.1 Company Limited",,,," ",Vietnam,"Đắk Nông","Gia Nghĩa"
"Dak Ro Sa",Hydro,Operational,7.5,2007,Vietnam,"Mien Trung Construction Corporation",,,," ",Vietnam,"Kon Tum","Đắk Tô"
"Dak Ro Sa 2",Hydro,Operational,2.4,2012,Vietnam,"Dak Ro Sa Hydropower JSC",,,," ",Vietnam,"Kon Tum","Đắk Tô"
"Dak Ru",Hydro,Operational,7.5,2008,Vietnam,"N&S Limited Liability Company",,,," ",Vietnam,"Đắk Nông","Tuy Đức"
"Dak Rung 1",Hydro,Operational,6,2010,Vietnam,"Binh Minh Company, Ltd.",,,," ",Vietnam,"Đắk Nông","Đắk Song"
"Dak Sin 1",Hydro,Operational,28,2015,Vietnam,"VRG Dak Nong JSC. - Vietnam Rubber Group",,,," ",Vietnam,"Đắk Nông","Đắk R'Lấp"
"Dak Srong",Hydro,Operational,18,2010,Vietnam,"Dak Srong JSC.",,,," ",Vietnam,"Gia Lai","Kông Chro"
"Dak Srong 2",Hydro,Operational,24,2010,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Kông Chro"
"Dak Srong 3A",Hydro,Operational,10,2014,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Krông Pa"
"Dak Srong 3B",Hydro,Operational,20,2012,Vietnam,"Hoang Anh Gia Lai JSC.",,,," ",Vietnam,"Gia Lai","Krông Pa"
"Dam Nai (Nhà máy điện gió Đầm Nại)",Wind,Operational,40,2018,"Singapore; Vietnam","The Blue Circle (Singapore), Công ty cổ phần TSV",,,Spain,"Siemens Gamesa Renewable Energy (Spain) Công ty Năng lượng Tái tạo Siemens Gamesa",Vietnam,"Ninh Thuận","Thuận Bắc"
Dam'Bri,Hydro,Operational,75,2014,Vietnam,"Southern Hydropower JSC.",,,," ",Vietnam,"Lâm Đồng","Bảo Lâm"
"Dapein 1 (Dapeyin / Tarpain)",Hydro,Operational,240,2011,"China; Myanmar","MEPE, Datang",China,"China EXIM",China,"Datang, United Hydropower Developing Co Ltd",Myanmar,Kachin,Bhamo
"Dapein 2 (Dapeyin / Tarpain)",Hydro,Planned,140,2022,"China; Myanmar","MoEE, United Hydropower Developing Co.",China,"China EXIM",China,Datang,Myanmar,Kachin,Bhamo
"Dau Tieng Solar Power Plant 1 (Nhà máy điện mặt trời Dầu Tiếng 1)",Solar,Operational,150,2019,"Vietnam; Thailand","Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT))",,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,"Tây Ninh","Dương Minh Châu"
"Dau Tieng Solar Power Plant 2 (Nhà máy điện mặt trời Dầu Tiếng 2)",Solar,Operational,200,2019,"Vietnam; Thailand","Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT))",,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,"Tây Ninh","Dương Minh Châu"
"Dau Tieng Solar Power Plant 3 (Nhà máy điện mặt trời Dầu Tiếng 3)",Solar,Planned,150,2020,"Vietnam; Thailand","Dầu Tiếng Tây Ninh Energy (a JV between B Grimm Power Public CL (Thailand); Xuân Cầu Company Ltd  (Vietnam)(BOT))",,,China,"Sinhydro Corp. Ltd. (EPC), ChinaPower HuaDong Engineering Corp. (EPC); Jinkosolar (supplier) (China)",Vietnam,"Tây Ninh","Tân Châu"
Dawei,Coal,Cancelled,4000,,Thailand,"Italian-Thai Development Public Company (Thailand)",,,," ",Myanmar,Tanintharyi,Dawei
"Decha Bio Green Co. Ltd",Biomass,Unknown,7.5,2009,"Thailand; United Kingdom","Decha Bio Green Co, Ltd.; EDF Trading Ltd. (EDFT)",,,," ",Thailand,"Suphan Buri","Bang Pla Ma"
"Deedoke (Deedote)",Hydro,"Under Construction",66,,"Austria; Japan; Myanmar","Andritz Hydro GmbH, Kansai Electric Power Co., Shwe Taung Group",,,," ",Myanmar,Mandalay,Kyaukse
"Dinh Binh",Hydro,Operational,9.9,2008,Vietnam,"Dinh Binh Hydropower JSC",,,," ",Vietnam,"Bình Định","Vĩnh Thạnh"
"Distributed Commercial Solar Power Project",Solar,"Under Construction",100,2020,,,ADB,ADB,," ",Thailand,"Suphan Buri","Muang Suphanburi"
"Dlie Ya (Nhà máy điện gió Dlie Ya)",Wind,Planned,100,2020,Vietnam,"Consortium of Hung Bac Energy Investment and Thang Long Real Estate Investment (Liên danh Công ty Cổ phần Đầu tư năng lượng Hưng Bắc và Công ty Cổ phần Đầu tư Thương mại và Kinh doanh bất động sản Thăng Long) (Viet",,,," ",Vietnam,"Đắk Lắk","Krông Năng"
"Dohwa Le Thuy Renewable Energy Complex (Dự án điện năng lượng tái tạo Dohwa Lệ Thủy)",Solar,Operational,49.5,2020,"South Korea","Dohwa Green Energy Co., Ltd.","South Korea","Dohwa Green Energy Co., Ltd.",Vietnam,"NSN Construction & JSC",Vietnam,"Quảng Bình","Lệ Thủy"
"Don Sahong",Hydro,Operational,260,2019,"Malaysia; Laos","Mega First 80 PCT, Government of Laos 20 PCT",Malaysia,"ERM loan facilities totaling $85 million and an Islamic financing facility of up to $65 million; Public Investment Bank Berhad Malaysia",China,"PowerChina/Power Construction Corp (China)",Laos,Champasak,Khong
"Dong Hai (Nhà máy điện gió Đông Hải 1)",Wind,Operational,50,2019,Vietnam,"Công ty Cổ phần Năng Lượng Bắc Phương (Vietnam)",,,," ",Vietnam,"Bạc Liêu","Đông Hải"
"Dong Khon Solar Power Plant",Solar,Operational,7.6,,Thailand,"G-Power Source Co Ltd (Thailand)",,,," ",Thailand,"Chai Nat","Sankha Buri"
"Dong Nai 2",Hydro,Operational,70,2015,Vietnam,"Trung Nam Group (Vietnam)",,,," ",Vietnam,"Lâm Đồng","Lâm Hà"
"Dong Nai 3",Hydro,Operational,180,2011,Vietnam,EVN,,,Vietnam,"Construction Corp No 1",Vietnam,"Lâm Đồng","Bảo Lâm"
"Dong Nai 4",Hydro,Operational,340,2013,Vietnam,EVN,Japan,JICA,Vietnam,"Lilama, Cavico",Vietnam,"Lâm Đồng","Bảo Lâm"
"Dong Nai 5",Hydro,Operational,140,2015,Vietnam,"Vinacomin (Vietnam)",,,Vietnam,"Vinacomin’s Power Holding Corporation (Vietnam)",Vietnam,"Đắk Nông","Đắk R'Lấp"
"Dong Nai 5",Hydro,Operational,150,2015,Vietnam,"Vietnam National Coal-Mineral Industries Group",,,," ",Vietnam,"Đắk Nông","Đắk R'Lấp"
"Dong Phu Yen",Hydro,Planned,1200,2030,Vietnam,"Xuan Thanh Group",,,"Vietnam; Japan","EVN, JICA, Xuan Thien Ninh Binh Co., Ltd.",Vietnam,"Sơn La","Phù Yên"
"Double A Ethanol wastewater treatment plant",Waste,Unknown,,2014,Thailand,,ADB,"ADB (Asian Development Bank) as Trustee of the Future Carbon Fund",Sweden,"Swedish Energy Agency",Thailand,"Prachin Buri","Sri Mahar Pho"
"Dray H'Linh 1",Hydro,Operational,12,1990,Vietnam,,,,," ",Vietnam,"Đắk Lắk","Buôn Ma Thuột"
"Dray H'Linh 2",Hydro,Operational,16,2007,Vietnam,"Dien Luc 3 Hydro Power JSC.",,,," ",Vietnam,"Đắk Nông","Cư Jút"
"Duc An (Nhà máy điện mặt trời Đức An)",Solar,Planned,30,2020,Vietnam,"Sở Kế hoạch và Đầu tư tỉnh Đắk Nông",,,," ",Vietnam,"Đắk Nông","Đắk Song"
"Duc Giang - Lao Cai Chemical Power Station (Nhiệt điện hóa chất Đức Giang - Lào Cai)",Coal,"Under Construction",100,2021,Vietnam,"Duc Giang - Lao Cai Chemicals Joint Stock Company (Vietnam)",Vietnam,Vietcombank,," ",Vietnam,"Lào Cai","Bảo Thắng"
